names,url,pkgmans,total_pkgs
"[{""name"":security/py-ailment,""pkgman"":freebsd12},{""name"":devel/py-ailment,""pkgman"":netbsd9}]",https://github.com/angr/ailment,"[freebsd12,netbsd9]",2
"[{""name"":security/py-cybox,""pkgman"":freebsd12},{""name"":security/py-cybox,""pkgman"":netbsd9}]",https://github.com/CybOXProject/python-cybox,"[freebsd12,netbsd9]",2
"[{""name"":security/sslscan,""pkgman"":freebsd12},{""name"":security/sslscan,""pkgman"":openbsd69}]",https://github.com/rbsec/sslscan,"[freebsd12,openbsd69]",2
"[{""name"":security/uacme,""pkgman"":freebsd12},{""name"":security/uacme,""pkgman"":openbsd69}]",https://github.com/ndilieto/uacme,"[freebsd12,openbsd69]",2
"[{""name"":security/vault,""pkgman"":freebsd12},{""name"":security/vault,""pkgman"":openbsd69}]",https://github.com/hashicorp/vault,"[freebsd12,openbsd69]",2
"[{""name"":security/whatweb,""pkgman"":freebsd12},{""name"":net/whatweb,""pkgman"":openbsd69}]",https://github.com/urbanadventurer/WhatWeb,"[freebsd12,openbsd69]",2
"[{""name"":security/yersinia,""pkgman"":freebsd12},{""name"":net/yersinia,""pkgman"":openbsd69}]",https://github.com/tomac/yersinia,"[freebsd12,openbsd69]",2
"[{""name"":shells/bash-completion,""pkgman"":freebsd12},{""name"":shells/bash-completion,""pkgman"":netbsd9},{""name"":shells/bash-completion,""pkgman"":openbsd69}]",https://github.com/scop/bash-completion,"[freebsd12,netbsd9,openbsd69]",3
"[{""name"":shells/elvish,""pkgman"":freebsd12},{""name"":shells/elvish,""pkgman"":openbsd69}]",https://github.com/elves/elvish,"[freebsd12,openbsd69]",2
"[{""name"":security/ossec-hids-agent,""pkgman"":freebsd12},{""name"":security/ossec-hids-local,""pkgman"":freebsd12},{""name"":security/ossec-hids-server,""pkgman"":freebsd12},{""name"":security/ossec-hids,""pkgman"":openbsd69}]",https://github.com/ossec/ossec-hids,"[freebsd12,openbsd69]",4
"[{""name"":security/pam_google_authenticator,""pkgman"":freebsd12},{""name"":security/google-authenticator,""pkgman"":netbsd9}]",https://github.com/google/google-authenticator-libpam,"[freebsd12,netbsd9]",2
