materials,url,pkgmans
"[ivf,multimedia/librav1e,multimedia/rav1e]",https://github.com/xiph/rav1e,"[cargo,freebsd12]"
"[lychee,lychee-lib,www/lychee]",https://github.com/lycheeverse/lychee,"[cargo,freebsd12]"
"[menhir,devel/menhir]",http://gallium.inria.fr/~fpottier/menhir/,"[cargo,netbsd9]"
"[kalker,math/kalker]",https://github.com/PaddiM8/kalker,"[cargo,freebsd12]"
"[kickoff,x11/kickoff]",https://github.com/j0ru/kickoff,"[cargo,freebsd12]"
"[inputplug,x11/inputplug]",https://github.com/andrewshadura/inputplug,"[cargo,freebsd12]"
"[potnet,sysutils/potnet]",https://github.com/pizzamig/potnet,"[cargo,freebsd12]"
"[miniserver,miniserve,www/miniserve]",https://github.com/svenstaro/miniserve,"[cargo,freebsd12]"
"[infinibuffer,neolistqueue,@abateman/components-bolt-button,@abateman/components-heading,@abateman/sk-card,@phoenix-plugin-registry/adl-syntax-highlighter,alpha-cli,demo_weather_cli,is-,pikdum-test-app,randysouza-npm-test-project,react-draggable-droppable,rn-token-test,test-for-starter-react-component,v-ii-fe-core]",https://example.com,"[cargo,npm]"
"[tinysearch-engine,tinysearch]",https://github.com/mre/tinysearch,"[cargo,npm]"
[hakuban],https://gitlab.com/yunta/hakuban/,"[cargo,npm]"
"[htmlq,textproc/htmlq]",https://github.com/mgdm/htmlq,"[cargo,freebsd12]"
"[kibi,editors/kibi]",https://github.com/ilai-deutel/kibi,"[cargo,freebsd12]"
"[handlr-regex,sysutils/handlr]",https://github.com/Anomalocaridid/handlr-regex,"[cargo,freebsd12]"
"[savage,savage_core,savage_macros,math/savage]",https://github.com/p-e-w/savage,"[cargo,freebsd12]"
"[my_closure,@chencmnpm/core,@serro/core,alp-ui,bylcdmodule,haio_first_package,mneb-meet,npm-demo-wlx,react-native-bytedance-ad,react-native-totp,sincere-checkout,szq-learn,xiachen]",https://www.baidu.com,"[cargo,npm]"
"[hotg-rune-codegen,hotg-rune-compiler,hotg-rune-syntax,hotg-runicos-base-wasm,hotg-rune-core,hotg-rune-wasm3-runtime,hotg-runicos-base-runtime,hotg-rune-wasmer-runtime,hotg-rune-runtime,hotg-rune-cli,hotg-rune-proc-block-macros,hotg-rune-proc-blocks,@hotg-ai/forge,@hotg-ai/rune,@hotg-ai/rune-tfjs-v2,@hotg-ai/rune-tfjs-v3,@hotg-ai/rune-tflite]",https://github.com/hotg-ai/rune,"[cargo,npm]"
"[git-cinnabar,devel/git-cinnabar]",https://github.com/glandium/git-cinnabar,"[cargo,freebsd12]"
"[gstat,freebsd-libgeom,freebsd-libgeom-sys,sysutils/gstat-rs]",https://github.com/asomers/gstat-rs,"[cargo,freebsd12]"
"[grep-index,ripgrep,textproc/ripgrep]",https://github.com/BurntSushi/ripgrep,"[cargo,freebsd12,openbsd69]"
"[invalidstring,gitui,asyncgit,filetreelist,devel/gitui]",https://github.com/extrawurst/gitui,"[cargo,freebsd12]"
"[gltf_unlit_generator,gltf-unlit-generator]",https://github.com/MozillaReality/gltf-unlit-generator.git,"[cargo,npm]"
"[exocore-apps-macros,exocore-apps-sdk,exocore-core,exocore-discovery,exocore-apps-host,exocore,exocore-store,exocore-transport,exocore-chain,exocore-protos,exo]",https://github.com/appaquet/exocore,"[cargo,npm]"
"[ztop,sysutils/ztop]",https://github.com/asomers/ztop,"[cargo,freebsd12]"
"[svgbob_server,svgbob_cli,svgbob,graphics/svgbob]",https://github.com/ivanceras/svgbob,"[cargo,freebsd12]"
"[duffel,@duffel/api]",https://duffel.com,"[cargo,npm]"
"[diskonaut,sysutils/diskonaut]",https://github.com/imsnif/diskonaut,"[cargo,freebsd12]"
"[diskus,sysutils/diskus]",https://github.com/sharkdp/diskus,"[cargo,freebsd12]"
"[deno_webstorage,deno_ffi,deno_tls,deno_typescript,deno_runtime,deno_http,deno-x86_64-apple-darwin,deno_cli,deno_crypto,deno_bench_util,deno-x86_64-pc-windows-msvc,deno-x86_64-unknown-linux-gnu,deno_file,deno_3p_lib,deno_lib_bindings,deno_cli_snapshots,deno_web,deno_url,deno_console,deno_websocket,deno_timers,deno_simple_runtime,deno,serde_v8,deno_broadcast_channel,deno_fetch,deno_net,deno_webidl,deno_core,www/deno]",https://github.com/denoland/deno,"[cargo,freebsd12]"
"[cronos-network,cronos-program,cronos-heartbeat,cronos-scheduler,cronos-cron,cronos-indexer,@cronos-so/cronos,@cronos-so/utils]",https://github.com/cronos-so/cronos,"[cargo,npm]"
