id,url,count_deps,count_total
64,https://github.com/shaunlebron/parinfer,"{'clojars': 9, 'npm': 4}",13
63,https://github.com/andrewplummer/Sugar,"{'clojars': 1, 'npm': 12}",13
218,https://github.com/zeromq/libzmq,"{'conan': 5, 'vcpkg': 7}",12
103,https://github.com/assimp/assimp,"{'conan': 1, 'vcpkg': 3, 'freebsd12': 6, 'openbsd69': 2}",12
97,https://github.com/redis/hiredis,"{'conan': 2, 'vcpkg': 1, 'freebsd12': 6, 'netbsd9': 0, 'openbsd69': 3}",12
12,https://github.com/tamasfe/taplo,"{'cargo': 9, 'npm': 3}",12
71,https://github.com/nih-at/libzip,"{'conan': 2, 'vcpkg': 9}",11
213,https://github.com/xtensor-stack/xtensor,"{'conan': 1, 'vcpkg': 4, 'freebsd12': 6}",11
266,https://github.com/nigels-com/glew,"{'vcpkg': 10, 'netbsd9': 1}",11
17,https://github.com/danielpclark/rutie,"{'cargo': 1, 'rubygems': 10}",11
107,https://github.com/awslabs/aws-c-compression,"{'conan': 1, 'freebsd12': 7, 'vcpkg': 3}",11
263,https://github.com/openscenegraph/OpenSceneGraph,"{'vcpkg': 2, 'freebsd12': 7, 'openbsd69': 2}",11
344,https://github.com/astrand/xclip,"{'freebsd12': 6, 'netbsd9': 0, 'openbsd69': 5}",11
244,https://github.com/facebookincubator/fizz,"{'vcpkg': 4, 'freebsd12': 6}",10
240,https://github.com/commonmark/cmark,"{'vcpkg': 0, 'freebsd12': 9, 'netbsd9': 0, 'openbsd69': 1}",10
117,https://github.com/google/benchmark,"{'conan': 0, 'freebsd12': 8, 'vcpkg': 1, 'netbsd9': 1}",10
29,https://github.com/libnet/libnet/releases/download/v1.2/libnet-1.2.tar.gz,"{'chromebrew': 1, 'homebrew': 9}",10
214,https://github.com/xtensor-stack/xtl,"{'conan': 2, 'freebsd12': 3, 'vcpkg': 5}",10
212,https://github.com/zaphoyd/websocketpp,"{'conan': 3, 'freebsd12': 5, 'vcpkg': 2}",10
311,https://github.com/TokTok/c-toxcore,"{'freebsd12': 8, 'openbsd69': 2}",10
150,https://github.com/google/leveldb,"{'conan': 0, 'vcpkg': 1, 'freebsd12': 9, 'netbsd9': 0, 'openbsd69': 0}",10
123,https://github.com/USCiLab/cereal,"{'conan': 2, 'vcpkg': 2, 'freebsd12': 5}",9
90,https://github.com/glfw/glfw,"{'conan': 3, 'vcpkg': 6}",9
245,https://github.com/mariusmuja/flann,"{'vcpkg': 3, 'freebsd12': 6}",9
139,https://github.com/tronkko/dirent,"{'conan': 2, 'vcpkg': 7}",9
109,https://github.com/awslabs/aws-checksums,"{'conan': 3, 'freebsd12': 4, 'vcpkg': 2}",9
143,https://github.com/ocornut/imgui,"{'conan': 4, 'vcpkg': 5}",9
238,https://github.com/ceres-solver/ceres-solver,"{'vcpkg': 6, 'freebsd12': 3}",9
219,https://github.com/gdraheim/zziplib,"{'conan': 0, 'freebsd12': 8, 'vcpkg': 1, 'netbsd9': 0}",9
34,https://github.com/libcheck/check/releases/download/0.15.2/check-0.15.2.tar.gz,"{'chromebrew': 2, 'homebrew': 7}",9
95,https://github.com/google/gumbo-parser,"{'conan': 0, 'vcpkg': 1, 'freebsd12': 6, 'openbsd69': 2}",9
122,https://github.com/Blosc/c-blosc,"{'conan': 1, 'vcpkg': 1, 'freebsd12': 5, 'openbsd69': 2}",9
155,https://github.com/danfis/libccd,"{'conan': 1, 'vcpkg': 4, 'freebsd12': 4}",9
121,https://github.com/catchorg/Catch2,"{'conan': 1, 'vcpkg': 3, 'freebsd12': 4, 'openbsd69': 1}",9
217,https://github.com/Z3Prover/z3,"{'conan': 1, 'vcpkg': 1, 'freebsd12': 7, 'openbsd69': 0}",9
164,https://github.com/edenhill/librdkafka,"{'conan': 1, 'vcpkg': 1, 'freebsd12': 6, 'netbsd9': 0}",8
104,https://github.com/awslabs/aws-c-auth,"{'conan': 2, 'vcpkg': 2, 'freebsd12': 4}",8
32,https://code.videolan.org/videolan/x264.git,"{'chromebrew': 2, 'homebrew': 6}",8
119,https://github.com/bulletphysics/bullet3,"{'conan': 1, 'vcpkg': 1, 'freebsd12': 3, 'openbsd69': 3}",8
160,https://github.com/OSGeo/libgeotiff,"{'conan': 4, 'vcpkg': 4, 'netbsd9': 0}",8
36,https://github.com/maxmind/geoip-api-c/releases/download/v1.6.12/GeoIP-1.6.12.tar.gz,"{'chromebrew': 2, 'homebrew': 6}",8
99,https://github.com/ifesdjeen/zweikopf,"{'clojars': 7, 'rubygems': 1}",8
149,https://github.com/mm2/Little-CMS,"{'conan': 5, 'vcpkg': 3}",8
156,https://github.com/ebiggers/libdeflate,"{'conan': 2, 'freebsd12': 6}",8
206,https://github.com/ericniebler/range-v3,"{'conan': 1, 'vcpkg': 2, 'freebsd12': 5, 'netbsd9': 0}",8
55,https://github.com/hakimel/Ladda,"{'clojars': 1, 'npm': 6}",7
194,https://github.com/Tessil/robin-map,"{'conan': 1, 'vcpkg': 1, 'freebsd12': 3, 'netbsd9': 1, 'openbsd69': 1}",7
232,https://github.com/zeroc-ice/ice,"{'rubygems': 4, 'freebsd12': 3}",7
231,https://github.com/sass/libsass,"{'vcpkg': 1, 'freebsd12': 4, 'openbsd69': 2}",7
346,https://github.com/MyGUI/mygui,"{'freebsd12': 6, 'openbsd69': 1}",7
198,https://github.com/mapbox/protozero,"{'conan': 0, 'vcpkg': 2, 'freebsd12': 2, 'openbsd69': 3}",7
0,https://github.com/unicorn-engine/unicorn,"{'cargo': 2, 'vcpkg': 0, 'freebsd12': 5}",7
21,https://github.com/identity-com/sol-did,"{'cargo': 1, 'npm': 6}",7
202,https://github.com/imageworks/pystring,"{'conan': 1, 'vcpkg': 1, 'freebsd12': 5}",7
271,https://github.com/libharu/libharu,"{'vcpkg': 2, 'freebsd12': 5, 'openbsd69': 0}",7
282,https://github.com/KhronosGroup/SPIRV-Tools,"{'freebsd12': 5, 'vcpkg': 1, 'openbsd69': 1}",7
30,https://github.com/lloyd/yajl/archive/2.1.0.tar.gz,"{'chromebrew': 3, 'homebrew': 4}",7
24,https://github.com/near/sandbox,"{'cargo': 3, 'npm': 4}",7
292,https://github.com/simd-everywhere/simde,"{'freebsd12': 6, 'vcpkg': 1, 'netbsd9': 0}",7
88,https://github.com/Maratyszcza/FXdiv,"{'conan': 1, 'vcpkg': 4, 'freebsd12': 1}",6
233,https://github.com/puppetlabs/leatherman,"{'freebsd12': 4, 'openbsd69': 2}",6
133,https://github.com/pytorch/cpuinfo,"{'conan': 2, 'vcpkg': 4}",6
273,https://github.com/berkeley-abc/abc,"{'freebsd12': 5, 'openbsd69': 1}",6
115,https://github.com/awslabs/aws-c-sdkutils,"{'conan': 1, 'freebsd12': 5}",6
302,https://github.com/htacg/tidy-html5,"{'vcpkg': 0, 'freebsd12': 5, 'openbsd69': 1}",6
166,https://github.com/microsoft/GSL,"{'conan': 4, 'freebsd12': 2}",6
286,https://github.com/mono/msbuild,"{'freebsd12': 5, 'openbsd69': 1}",6
303,https://github.com/ros/urdfdom,"{'vcpkg': 4, 'freebsd12': 2}",6
152,https://github.com/AOMediaCodec/libavif,"{'conan': 1, 'vcpkg': 1, 'freebsd12': 3, 'openbsd69': 1}",6
276,https://github.com/Yeraze/ytnef,"{'freebsd12': 4, 'netbsd9': 0, 'openbsd69': 2}",6
305,https://github.com/facebook/wangle,"{'vcpkg': 2, 'freebsd12': 4}",6
125,https://github.com/DaveGamble/cJSON,"{'conan': 0, 'freebsd12': 5, 'vcpkg': 1, 'netbsd9': 0}",6
270,https://github.com/jiixyj/libebur128,"{'vcpkg': 0, 'freebsd12': 5, 'netbsd9': 0, 'openbsd69': 1}",6
42,https://github.com/mfikes/andare,"{'clojars': 5, 'npm': 1}",6
108,https://github.com/awslabs/aws-c-event-stream,"{'conan': 2, 'freebsd12': 3, 'vcpkg': 1}",6
10,https://github.com/alacritty/alacritty,"{'cargo': 5, 'freebsd12': 1, 'netbsd9': 0}",6
339,https://github.com/snowballstem/snowball,"{'freebsd12': 4, 'netbsd9': 0, 'openbsd69': 2}",6
186,https://github.com/KhronosGroup/SPIRV-Headers,"{'conan': 1, 'vcpkg': 2, 'netbsd9': 1, 'openbsd69': 2}",6
293,https://github.com/sparsehash/sparsehash,"{'freebsd12': 3, 'vcpkg': 0, 'openbsd69': 3}",6
27,https://github.com/anyascii/anyascii,"{'cargo': 4, 'rubygems': 1}",5
341,https://github.com/uwabami/rdtool,"{'freebsd12': 2, 'netbsd9': 3}",5
258,https://github.com/beltoforion/muparser,"{'vcpkg': 0, 'freebsd12': 4, 'openbsd69': 1}",5
298,https://github.com/google/woff2,"{'freebsd12': 4, 'openbsd69': 1}",5
255,https://github.com/diegonehab/luasocket,"{'vcpkg': 1, 'openbsd69': 4}",5
277,https://github.com/YosysHQ/yosys,"{'freebsd12': 4, 'openbsd69': 1}",5
275,https://github.com/wkhtmltopdf/wkhtmltopdf,"{'freebsd12': 4, 'openbsd69': 1}",5
84,https://github.com/Maratyszcza/FP16,"{'conan': 2, 'vcpkg': 3, 'freebsd12': 0}",5
243,https://github.com/dmlc/dmlc-core,"{'vcpkg': 1, 'freebsd12': 4}",5
43,https://github.com/ndevilla/iniparser/archive/v4.1.tar.gz,"{'chromebrew': 3, 'homebrew': 2}",5
70,https://github.com/warmcat/libwebsockets,"{'conan': 1, 'vcpkg': 2, 'openbsd69': 2}",5
262,https://github.com/PixarAnimationStudios/OpenSubdiv,"{'vcpkg': 0, 'freebsd12': 4, 'openbsd69': 1}",5
75,https://github.com/mapbox/geometry.hpp,"{'conan': 1, 'vcpkg': 4}",5
132,https://github.com/google/cpu_features,"{'conan': 0, 'vcpkg': 1, 'freebsd12': 4}",5
241,https://github.com/coin3d/coin,"{'vcpkg': 1, 'freebsd12': 4}",5
134,https://github.com/google/crc32c,"{'conan': 2, 'vcpkg': 0, 'freebsd12': 3}",5
137,https://github.com/HowardHinnant/date,"{'conan': 1, 'vcpkg': 3, 'freebsd12': 1}",5
112,https://github.com/awslabs/aws-c-mqtt,"{'conan': 1, 'freebsd12': 3, 'vcpkg': 1}",5
199,https://github.com/Maratyszcza/psimd,"{'conan': 1, 'vcpkg': 3, 'freebsd12': 1}",5
144,https://github.com/json-c/json-c,"{'conan': 1, 'vcpkg': 4}",5
114,https://github.com/awslabs/aws-c-s3,"{'conan': 1, 'freebsd12': 3, 'vcpkg': 1}",5
196,https://github.com/uNetworking/uSockets,"{'conan': 1, 'vcpkg': 1, 'freebsd12': 1, 'openbsd69': 2}",5
