,pkgname,ecosystem,count_deps,count_total
418,tinyspline,"['conan', 'vcpkg']","[0, 0]",0
417,tiny-regex-c,"['conan', 'vcpkg']","[0, 0]",0
416,tinyply,"['conan', 'vcpkg']","[0, 0]",0
415,tinygltf,"['conan', 'vcpkg']","[0, 0]",0
414,tinyexr,"['conan', 'vcpkg']","[0, 0]",0
413,tiny-dnn,"['conan', 'vcpkg']","[0, 0]",0
412,tinydir,"['conan', 'vcpkg']","[0, 0]",0
411,tiny-bignum-c,"['conan', 'vcpkg']","[0, 0]",0
410,tiny-aes-c,"['conan', 'vcpkg']","[0, 0]",0
409,tgc,"['conan', 'vcpkg']","[0, 0]",0
408,tensorpipe,"['conan', 'vcpkg']","[0, 0]",0
407,getdns,"['conan', 'vcpkg']","[0, 0]",0
406,g3log,"['conan', 'vcpkg']","[0, 0]",0
403,status-value-lite,"['conan', 'vcpkg']","[0, 0]",0
381,redis-plus-plus,"['conan', 'vcpkg']","[0, 0]",0
401,sqlitecpp,"['conan', 'vcpkg']","[0, 0]",0
400,spscqueue,"['conan', 'vcpkg']","[0, 0]",0
396,soxr,"['conan', 'vcpkg']","[0, 0]",0
394,soci,"['conan', 'vcpkg']","[0, 0]",0
392,so5extra,"['conan', 'vcpkg']","[0, 0]",0
391,simdutf,"['conan', 'vcpkg']","[0, 0]",0
390,serdepp,"['conan', 'vcpkg']","[0, 0]",0
389,safeint,"['conan', 'vcpkg']","[0, 0]",0
388,rttr,"['conan', 'vcpkg']","[0, 0]",0
386,rmlui,"['conan', 'vcpkg']","[0, 0]",0
385,ring-span-lite,"['conan', 'vcpkg']","[0, 0]",0
384,restinio,"['conan', 'vcpkg']","[0, 0]",0
383,replxx,"['conan', 'vcpkg']","[0, 0]",0
382,refl-cpp,"['conan', 'vcpkg']","[0, 0]",0
852,www/sqtop,"['openbsd69', 'netbsd9']","[0, 0]",0
