name,nodelist,count,notes
librdkafka,"[{""name"":librdkafka,""pkgman"":VCPKG},{""name"":librdkafka,""pkgman"":Conan},{""name"":librdkafka,""pkgman"":Homebrew}]",3,
libressl,"[{""name"":libressl,""pkgman"":VCPKG},{""name"":libressl,""pkgman"":Chromebrew},{""name"":libressl,""pkgman"":Conan},{""name"":libressl,""pkgman"":Homebrew}]",4,
librsvg,"[{""name"":librsvg,""pkgman"":VCPKG},{""name"":librsvg,""pkgman"":Chromebrew},{""name"":librsvg,""pkgman"":Homebrew}]",3,
librsync,"[{""name"":librsync,""pkgman"":VCPKG},{""name"":librsync,""pkgman"":Cargo},{""name"":librsync,""pkgman"":Chromebrew},{""name"":librsync,""pkgman"":Homebrew}]",4,
librttopo,"[{""name"":librttopo,""pkgman"":VCPKG},{""name"":librttopo,""pkgman"":Conan},{""name"":librttopo,""pkgman"":Homebrew}]",3,
libsamplerate,"[{""name"":libsamplerate,""pkgman"":VCPKG},{""name"":libsamplerate,""pkgman"":Cargo},{""name"":libsamplerate,""pkgman"":Chromebrew},{""name"":libsamplerate,""pkgman"":Conan},{""name"":libsamplerate,""pkgman"":Homebrew}]",5,
libsass,"[{""name"":libsass,""pkgman"":VCPKG},{""name"":libsass,""pkgman"":Chromebrew},{""name"":libsass,""pkgman"":Conan},{""name"":libsass,""pkgman"":Homebrew}]",4,
libsecret,"[{""name"":libsecret,""pkgman"":VCPKG},{""name"":libsecret,""pkgman"":Cargo},{""name"":libsecret,""pkgman"":Chromebrew},{""name"":libsecret,""pkgman"":Conan},{""name"":libsecret,""pkgman"":Homebrew}]",5,
libsigcpp,"[{""name"":libsigcpp,""pkgman"":VCPKG},{""name"":libsigcpp,""pkgman"":Conan}]",2,
libsndfile,"[{""name"":libsndfile,""pkgman"":VCPKG},{""name"":libsndfile,""pkgman"":Chromebrew},{""name"":libsndfile,""pkgman"":Conan},{""name"":libsndfile,""pkgman"":Homebrew}]",4,
libsodium,"[{""name"":libsodium,""pkgman"":VCPKG},{""name"":libsodium,""pkgman"":Cargo},{""name"":libsodium,""pkgman"":Chromebrew},{""name"":libsodium,""pkgman"":Conan},{""name"":libsodium,""pkgman"":Homebrew},{""name"":libsodium,""pkgman"":Nimble}]",6,
libsoundio,"[{""name"":libsoundio,""pkgman"":VCPKG},{""name"":libsoundio,""pkgman"":Homebrew}]",2,
libspatialindex,"[{""name"":libspatialindex,""pkgman"":VCPKG},{""name"":libspatialindex,""pkgman"":Chromebrew},{""name"":libspatialindex,""pkgman"":Conan}]",3,
libspatialite,"[{""name"":libspatialite,""pkgman"":VCPKG},{""name"":libspatialite,""pkgman"":Conan},{""name"":libspatialite,""pkgman"":Homebrew}]",3,
libspnav,"[{""name"":libspnav,""pkgman"":VCPKG},{""name"":libspnav,""pkgman"":Cargo},{""name"":libspnav,""pkgman"":Homebrew}]",3,
libsquish,"[{""name"":libsquish,""pkgman"":VCPKG},{""name"":libsquish,""pkgman"":Conan},{""name"":libsquish,""pkgman"":Homebrew}]",3,
libsrtp,"[{""name"":libsrtp,""pkgman"":VCPKG},{""name"":libsrtp,""pkgman"":Conan}]",2,
libssh,"[{""name"":libssh,""pkgman"":VCPKG},{""name"":libssh,""pkgman"":Cargo},{""name"":libssh,""pkgman"":Chromebrew},{""name"":libssh,""pkgman"":Homebrew},{""name"":libssh,""pkgman"":Nimble}]",5,
libssh2,"[{""name"":libssh2,""pkgman"":VCPKG},{""name"":libssh2,""pkgman"":Chromebrew},{""name"":libssh2,""pkgman"":Conan},{""name"":libssh2,""pkgman"":Homebrew},{""name"":libssh2,""pkgman"":Nimble}]",5,
libstemmer,"[{""name"":libstemmer,""pkgman"":VCPKG},{""name"":libstemmer,""pkgman"":Chromebrew}]",2,
libsvm,"[{""name"":libsvm,""pkgman"":VCPKG},{""name"":libsvm,""pkgman"":Cargo},{""name"":libsvm,""pkgman"":Conan},{""name"":libsvm,""pkgman"":Homebrew},{""name"":libsvm,""pkgman"":Nimble}]",5,
libtasn1,"[{""name"":libtasn1,""pkgman"":VCPKG},{""name"":libtasn1,""pkgman"":Chromebrew},{""name"":libtasn1,""pkgman"":Conan},{""name"":libtasn1,""pkgman"":Homebrew}]",4,
libtcod,"[{""name"":libtcod,""pkgman"":VCPKG},{""name"":libtcod,""pkgman"":Homebrew}]",2,
libtheora,"[{""name"":libtheora,""pkgman"":VCPKG},{""name"":libtheora,""pkgman"":Chromebrew}]",2,
libtins,"[{""name"":libtins,""pkgman"":VCPKG},{""name"":libtins,""pkgman"":Conan},{""name"":libtins,""pkgman"":Homebrew}]",3,
libtomcrypt,"[{""name"":libtomcrypt,""pkgman"":VCPKG},{""name"":libtomcrypt,""pkgman"":Homebrew}]",2,
libtommath,"[{""name"":libtommath,""pkgman"":VCPKG},{""name"":libtommath,""pkgman"":Conan},{""name"":libtommath,""pkgman"":Homebrew}]",3,
libtorrent,"[{""name"":libtorrent,""pkgman"":VCPKG},{""name"":libtorrent,""pkgman"":Cargo},{""name"":libtorrent,""pkgman"":Conan}]",3,
libu2f-server,"[{""name"":libu2f-server,""pkgman"":VCPKG},{""name"":libu2f-server,""pkgman"":Homebrew}]",2,
libui,"[{""name"":libui,""pkgman"":VCPKG},{""name"":libui,""pkgman"":Conan}]",2,
