:ID,pkg_name,pkgman,version,:LABEL,homepage,repo
version1903homebrew,glyr,homebrew,1.0.10,Version,https://github.com/sahib/glyr/archive/1.0.10.tar.gz,https://github.com/sahib/glyr
version1124chromebrew,screenfetch,chromebrew,3.9.1,Version,https://github.com/KittyKatt/screenFetch/archive/v3.9.1.tar.gz,https://github.com/KittyKatt/screenFetch
version4823homebrew,screenfetch,homebrew,3.9.1,Version,https://github.com/KittyKatt/screenFetch/archive/v3.9.1.tar.gz,https://github.com/KittyKatt/screenFetch
version3065homebrew,libsass,homebrew,3.6.5,Version,https://github.com/sass/libsass.git,https://github.com/sass/libsass
version981vcpkg,libsass,vcpkg,3.6.5,Version,,https://github.com/sass/libsass
version1127chromebrew,libsass,chromebrew,3.6.5,Version,https://github.com/sass/libsass.git,https://sass-lang.com/libsass
version1129chromebrew,zzuf,chromebrew,0.15,Version,https://github.com/samhocevar/zzuf/releases/download/v0.15/zzuf-0.15.tar.bz2,http://caca.zoy.org/wiki/zzuf
version6061homebrew,zzuf,homebrew,0.15,Version,https://github.com/samhocevar/zzuf/releases/download/v0.15/zzuf-0.15.tar.bz2,http://caca.zoy.org/wiki/zzuf
version1001homebrew,cxxopts,homebrew,3.0.0,Version,https://github.com/jarro2783/cxxopts/archive/v3.0.0.tar.gz,https://github.com/jarro2783/cxxopts
version742conan,cxxopts,conan,3.0.0,Version,,https://github.com/jarro2783/cxxopts
version434vcpkg,cxxopts,vcpkg,3.0.0,Version,,https://github.com/jarro2783/cxxopts
version1005homebrew,cyrus-sasl,homebrew,2.1.28,Version,https://github.com/cyrusimap/cyrus-sasl/releases/download/cyrus-sasl-2.1.28/cyrus-sasl-2.1.28.tar.gz,https://www.cyrusimap.org/sasl/
version746conan,cyrus-sasl,conan,2.1.27,Version,,https://www.cyrusimap.org/sasl/
version1019homebrew,dark-mode,homebrew,3.0.2,Version,https://github.com/sindresorhus/dark-mode/archive/v3.0.2.tar.gz,https://github.com/sindresorhus/dark-mode
version14765180npm,dark-mode,npm,1.0.0,Version,https://github.com/sindresorhus/dark-mode,https://github.com/sindresorhus/dark-mode
version14765181npm,dark-mode,npm,1.0.1,Version,https://github.com/sindresorhus/node-dark-mode,https://github.com/sindresorhus/node-dark-mode
version1024homebrew,dartsim,homebrew,6.12.1,Version,https://github.com/dartsim/dart/archive/v6.12.1.tar.gz,https://dartsim.github.io/
version440vcpkg,dartsim,vcpkg,6.11.0,Version,,https://dartsim.github.io/
version4419homebrew,pulp,homebrew,16.0.1,Version,https://registry.npmjs.org/pulp/-/pulp-16.0.1.tgz,https://github.com/purescript-contrib/pulp
version20869719npm,pulp,npm,12.4.0,Version,git+https://github.com/purescript-contrib/pulp.git,https://github.com/purescript-contrib/pulp
version23234232npm,tandem,npm,0.12.0,Version,https://github.com/stypi/tandem,https://github.com/stypi/tandem
version23234238npm,tandem,npm,0.13.0,Version,https://github.com/tandem/tandem,https://github.com/tandem/tandem
version1011conan,flatcc,conan,0.6.0,Version,,https://github.com/dvidelabs/flatcc
version1541homebrew,flatcc,homebrew,0.6.0,Version,https://github.com/dvidelabs/flatcc/archive/v0.6.0.tar.gz,https://github.com/dvidelabs/flatcc
version1046conan,foxi,conan,cci.20210217,Version,,https://github.com/houseroad/foxi
version566vcpkg,foxi,vcpkg,2021-12-01,Version,,https://github.com/houseroad/foxi
version1047conan,fp16,conan,cci.20200514,Version,,https://github.com/Maratyszcza/FP16
version567vcpkg,fp16,vcpkg,2021-02-21,Version,,https://github.com/Maratyszcza/FP16
version1057conan,freexl,conan,1.0.6,Version,,https://www.gaia-gis.it/fossil/freexl/index
version1623homebrew,freexl,homebrew,1.0.6,Version,https://www.gaia-gis.it/gaia-sins/freexl-sources/freexl-1.0.6.tar.gz,https://www.gaia-gis.it/fossil/freexl/index
version1065conan,frugally-deep,conan,0.15.16-p0,Version,,https://github.com/Dobiasd/frugally-deep
version580vcpkg,frugally-deep,vcpkg,0.15.10-p0,Version,,https://github.com/Dobiasd/frugally-deep
version1071conan,ftjam,conan,2.5.2,Version,,https://www.freetype.org/jam/
version1646homebrew,ftjam,homebrew,2.5.2,Version,https://downloads.sourceforge.net/project/freetype/ftjam/2.5.2/ftjam-2.5.2.tar.bz2,https://www.freetype.org/jam/
version1072conan,ftxui,conan,2.0.0,Version,,https://github.com/ArthurSonzogni/FTXUI
version583vcpkg,ftxui,vcpkg,2.0.0,Version,,https://github.com/ArthurSonzogni/FTXUI
version1073conan,function2,conan,4.2.0,Version,,https://github.com/Naios/function2
version584vcpkg,function2,vcpkg,4.2.0,Version,,https://github.com/Naios/function2
version1075conan,functionalplus,conan,0.2.18-p0,Version,,https://github.com/Dobiasd/FunctionalPlus
